track_id,title,artist_name,tempo,loudness,duration,timbre_mean_0,timbre_mean_1,timbre_mean_2,timbre_mean_3,timbre_mean_4,timbre_mean_5,timbre_mean_6,timbre_mean_7,timbre_mean_8,timbre_mean_9,timbre_mean_10,timbre_mean_11
TRAAAAW128F429D538,I Didn't Mean To,Casual,92.198,-11.197,218.93179,41.51277754891864,15.662936148300714,-5.789681771369724,-0.7898444902162766,-43.234903192584966,15.170947476828031,15.139038105046353,1.5050010298661167,6.589570545829048,12.29855509783728,-13.563280123583963,5.442479917610713
TRAAABD128F429CF47,Soul Deep,The Box Tops,121.274,-9.843,148.03546,43.07103636363632,-4.035390909090912,23.572292727272725,12.923576363636357,-2.5450363636363575,5.052394545454545,9.238150909090923,-4.345974545454544,5.224103636363631,2.9356636363636377,-2.7526381818181807,1.7293963636363623
TRAAADZ128F9348C2E,Amor De Cabaret,Sonora Santanera,100.07,-9.689,177.47546,45.130814946619225,-76.8233256227758,50.78732918149468,13.509893238434167,-6.549258007117435,-5.514241992882558,1.8851779359430594,-8.963729537366556,3.759862989323842,-5.117953736654802,8.442069395017796,4.477170818505343
TRAAAEF128F4273421,Something Girls,Adam Ant,119.293,-9.013,233.40363,45.800255785627286,41.148986601705204,57.59929476248478,5.695314250913528,0.9798928136419023,-7.360075517661389,-10.917191230207054,-0.46227161997563915,-0.29941047503045176,-2.340377588306943,0.26161632155907566,-2.4275980511571236
TRAAAFD128F92F423A,Face the Ashes,Gob,129.738,-4.501,209.60608,50.25155423476959,27.845583952451705,47.091303120356585,11.080035661218442,-43.505350668647836,-17.99725260029719,-5.284150074294206,-11.754643387815745,10.51285141158989,2.1924576523031254,5.448426448737002,1.7045156017830607
TRAAAMO128F1481E7F,The Moon And I (Ordinary Day Album Version),Jeff And Sheri Easter,147.782,-9.323,267.7024,43.398846706586795,-9.019929341317363,7.332458682634731,-13.002547305389228,-5.642849101796404,-11.545959281437133,-15.083679041916184,-9.382033532934129,-2.1977988023952113,-4.3827041916167655,2.2422323353293403,9.439755688622752
TRAAAMQ128F1460CD3,Keepin It Real (Skit),Rated R,111.787,-17.302,114.78159,30.791465696465703,6.3816340956341016,14.740644490644486,-12.607875259875259,31.266062370062365,28.76588357588356,-34.71237629937626,7.444091476091479,-17.967744282744274,7.3052245322245355,-11.199717255717248,12.22763201663201
TRAAAPK128E0786D96,Drop of Rain,Tweeterfriendly Music,101.43,-11.642,189.57016,41.12963945578234,-59.71124659863945,-38.28544897959176,-28.73447789115643,6.773886054421764,-15.17429591836736,9.568119047619042,-2.411224489795917,5.583045918367345,-8.037425170068033,-6.7274183673469405,-3.544920068027207
TRAAARJ128F9320760,Pink World,Planet P Project,86.643,-13.496,269.81832,40.64354495614035,6.281907894736841,34.65520833333334,-1.2969375000000014,-32.76273135964916,-14.612496710526326,7.7064923245613945,-8.353410087719299,10.383999999999983,-1.9548135964912279,-0.4092302631578955,-4.850199561403505
TRAAAVG12903CFA543,Insatiable (Instrumental Version),Clp,114.041,-6.697,266.39628,42.028068278805144,21.465520625889035,-10.381864864864847,60.42222048364149,-1.906911806543384,-15.450349217638683,11.928953058321467,13.374325746799396,3.6821728307254684,12.140663584637272,5.972149359886211,-6.369169274537689
